rho,p_collapse,gcc_fraction
0.000000,0.000000,1.000000
0.020408,0.000000,0.974361
0.040816,0.000000,0.946740
0.061224,0.000050,0.916412
0.081633,0.000350,0.882264
0.102041,0.003600,0.841959
0.122449,0.014350,0.796177
0.142857,0.046150,0.740636
0.163265,0.098350,0.682154
0.183673,0.197150,0.618913
0.204082,0.332750,0.552966
0.224490,0.504050,0.484371
0.244898,0.679550,0.420602
0.265306,0.838400,0.360361
0.285714,0.936800,0.305604
0.306122,0.983800,0.257540
0.326531,0.997800,0.216739
0.346939,0.999600,0.180825
0.367347,1.000000,0.150780
0.387755,1.000000,0.126738
0.408163,1.000000,0.105747
0.428571,1.000000,0.088849
0.448980,1.000000,0.075938
0.469388,1.000000,0.063832
0.489796,1.000000,0.054925
0.510204,1.000000,0.047017
0.530612,1.000000,0.040501
0.551020,1.000000,0.034844
0.571429,1.000000,0.030447
0.591837,1.000000,0.026584
0.612245,1.000000,0.023276
0.632653,1.000000,0.020481
0.653061,1.000000,0.018045
0.673469,1.000000,0.015834
0.693878,1.000000,0.013917
0.714286,1.000000,0.012316
0.734694,1.000000,0.010939
0.755102,1.000000,0.009645
0.775510,1.000000,0.008532
0.795918,1.000000,0.007504
0.816327,1.000000,0.006585
0.836735,1.000000,0.005810
0.857143,1.000000,0.005082
0.877551,1.000000,0.004393
0.897959,1.000000,0.003790
0.918367,1.000000,0.003228
0.938776,1.000000,0.002677
0.959184,1.000000,0.002160
0.979592,1.000000,0.001516
1.000000,1.000000,0.000000
